bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
								MA	Massachusetts	Republican	Republican Party	38	38th United States Congress	1863-03-04T00:00:00Z	1865-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	39	39th United States Congress	1865-03-04T00:00:00Z	1867-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	40	40th United States Congress	1867-03-04T00:00:00Z	1869-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	42	42nd United States Congress	1871-03-04T00:00:00Z	1873-03-04T00:00:00Z
								MA	Massachusetts	Liberal Republican	Liberal Republican Party	43	43rd United States Congress	1873-03-04T00:00:00Z	1875-03-04T00:00:00Z
B000253	https://bioguideretro.congress.gov/Static_Files/data/B/B000253.xml	Thomas francis, sr. Bayard	Thomas F. Bayard	Q708034	1	Bayard	Thomas francis, sr.	DE	Delaware	Democrat	Democratic Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	42	42nd United States Congress	1871-03-04T00:00:00Z	1873-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	43	43rd United States Congress	1873-03-04T00:00:00Z	1875-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	44	44th United States Congress	1875-03-04T00:00:00Z	1877-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	45	45th United States Congress	1877-03-04T00:00:00Z	1879-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	46	46th United States Congress	1879-03-04T00:00:00Z	1881-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	47	47th United States Congress	1881-03-04T00:00:00Z	1883-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	48	48th United States Congress	1883-03-04T00:00:00Z	1885-03-04T00:00:00Z
								DE	Delaware	Democrat	Democratic Party	49	49th United States Congress	1885-03-04T00:00:00Z	1887-03-04T00:00:00Z
B001159	https://bioguideretro.congress.gov/Static_Files/data/B/B001159.xml	Theodore elijah Burton	Theodore Elijah Burton	Q252449	1	Burton	Theodore elijah	OH	Ohio	Republican	Republican Party	61	61st United States Congress	1909-03-04T00:00:00Z	1911-03-04T00:00:00Z
								OH	Ohio	Republican	Republican Party	62	62nd United States Congress	1911-03-04T00:00:00Z	1913-03-04T00:00:00Z
								OH	Ohio	Republican	Republican Party	63	63rd United States Congress	1913-03-04T00:00:00Z	1915-03-04T00:00:00Z
								OH	Ohio	Republican	Republican Party	70	70th United States Congress	1927-03-04T00:00:00Z	1929-03-04T00:00:00Z
								OH	Ohio	Republican	Republican Party	71	71st United States Congress	1929-03-04T00:00:00Z	1931-03-04T00:00:00Z
S000362	https://bioguideretro.congress.gov/Static_Files/data/S/S000362.xml	James Shields	James Shields	Q923522	1	Shields	James	IL	Illinois	Democrat	Democratic Party	31	31st United States Congress	1849-03-04T00:00:00Z	1851-03-04T00:00:00Z
								IL	Illinois	Democrat	Democratic Party	32	32nd United States Congress	1851-03-04T00:00:00Z	1853-03-04T00:00:00Z
								IL	Illinois	Democrat	Democratic Party	33	33rd United States Congress	1853-03-04T00:00:00Z	1855-03-04T00:00:00Z
								MN	Minnesota	Democrat	Democratic Party	35	35th United States Congress	1857-03-04T00:00:00Z	1859-03-04T00:00:00Z
								MO	Missouri	Democrat	Democratic Party	45	45th United States Congress	1877-03-04T00:00:00Z	1879-03-04T00:00:00Z
C000185	https://bioguideretro.congress.gov/Static_Files/data/C/C000185.xml	Charles (of carrollton) Carroll	Charles Carroll	Q466009	1	Carroll	Charles (of carrollton)	MD	Maryland	Pro-Administration	Pro-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
								MD	Maryland	Pro-Administration	Pro-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
M000429	https://bioguideretro.congress.gov/Static_Files/data/M/M000429.xml	Samuel douglas Mcenery	Samuel D. McEnery	Q669518	1	Mcenery	Samuel douglas	LA	Louisiana	Democrat	Democratic Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								LA	Louisiana	Democrat	Democratic Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
								LA	Louisiana	Democrat	Democratic Party	57	57th United States Congress	1901-03-04T00:00:00Z	1903-03-04T00:00:00Z
								LA	Louisiana	Democrat	Democratic Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
								LA	Louisiana	Democrat	Democratic Party	59	59th United States Congress	1905-03-04T00:00:00Z	1907-03-04T00:00:00Z
								LA	Louisiana	Democrat	Democratic Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
								LA	Louisiana	Democrat	Democratic Party	61	61st United States Congress	1909-03-04T00:00:00Z	1911-03-04T00:00:00Z
U000013	https://bioguideretro.congress.gov/Static_Files/data/U/U000013.xml	Oscar wilder Underwood	Oscar Underwood	Q454609	1	Underwood	Oscar wilder	AL	Alabama	Democrat	Democratic Party	64	64th United States Congress	1915-03-04T00:00:00Z	1917-03-04T00:00:00Z
								AL	Alabama	Democrat	Democratic Party	65	65th United States Congress	1917-03-04T00:00:00Z	1919-03-04T00:00:00Z
								AL	Alabama	Democrat	Democratic Party	66	66th United States Congress	1919-03-04T00:00:00Z	1921-03-04T00:00:00Z
								AL	Alabama	Democrat	Democratic Party	67	67th United States Congress	1921-03-04T00:00:00Z	1923-03-04T00:00:00Z
								AL	Alabama	Democrat	Democratic Party	68	68th United States Congress	1923-03-04T00:00:00Z	1925-03-04T00:00:00Z
								AL	Alabama	Democrat	Democratic Party	69	69th United States Congress	1925-03-04T00:00:00Z	1927-03-04T00:00:00Z
N000145	https://bioguideretro.congress.gov/Static_Files/data/N/N000145.xml	Daniel sheldon Norton	Daniel Sheldon Norton	Q369084	1	Norton	Daniel sheldon	MN	Minnesota	Unionist	Unionist Party	39	39th United States Congress	1865-03-04T00:00:00Z	1867-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	40	40th United States Congress	1867-03-04T00:00:00Z	1869-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
C000813	https://bioguideretro.congress.gov/Static_Files/data/C/C000813.xml	Paul Coverdell	Paul Coverdell	Q5612725	1	Coverdell	Paul	GA	Georgia	Republican	Republican Party	103	103rd United States Congress	1993-01-03T00:00:00Z	1995-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
B001005	https://bioguideretro.congress.gov/Static_Files/data/B/B001005.xml	James Buchanan	James Buchanan	Q12325	1	Buchanan	James	PA	Pennsylvania	Democrat	Democratic Party	23	23rd United States Congress	1833-03-04T00:00:00Z	1835-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	24	24th United States Congress	1835-03-04T00:00:00Z	1837-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	25	25th United States Congress	1837-03-04T00:00:00Z	1839-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	26	26th United States Congress	1839-03-04T00:00:00Z	1841-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	27	27th United States Congress	1841-03-04T00:00:00Z	1843-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	28	28th United States Congress	1843-03-04T00:00:00Z	1845-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	29	29th United States Congress	1845-03-04T00:00:00Z	1847-03-04T00:00:00Z
D000095	https://bioguideretro.congress.gov/Static_Files/data/D/D000095.xml	Cushman kellogg Davis	Cushman Kellogg Davis	Q328669	1	Davis	Cushman kellogg	MN	Minnesota	Republican	Republican Party	50	50th United States Congress	1887-03-04T00:00:00Z	1889-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	51	51st United States Congress	1889-03-04T00:00:00Z	1891-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	52	52nd United States Congress	1891-03-04T00:00:00Z	1893-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	53	53rd United States Congress	1893-03-04T00:00:00Z	1895-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	54	54th United States Congress	1895-03-04T00:00:00Z	1897-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								MN	Minnesota	Republican	Republican Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
K000176	https://bioguideretro.congress.gov/Static_Files/data/K/K000176.xml	Harley martin Kilgore	Harley Martin Kilgore	Q368666	1	Kilgore	Harley martin	WV	West Virginia	Democrat	Democratic Party	77	77th United States Congress	1941-01-03T00:00:00Z	1943-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	78	78th United States Congress	1943-01-03T00:00:00Z	1945-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	79	79th United States Congress	1945-01-03T00:00:00Z	1947-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	80	80th United States Congress	1947-01-03T00:00:00Z	1949-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	81	81st United States Congress	1949-01-03T00:00:00Z	1951-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	82	82nd United States Congress	1951-01-03T00:00:00Z	1953-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	83	83rd United States Congress	1953-01-03T00:00:00Z	1955-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	84	84th United States Congress	1955-01-03T00:00:00Z	1957-01-03T00:00:00Z
A000139	https://bioguideretro.congress.gov/Static_Files/data/A/A000139.xml	Maryon pittman Allen	Maryon Pittman Allen	Q273898	1	Allen	Maryon pittman	AL	Alabama	Democrat	Democratic Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
C000740	https://bioguideretro.congress.gov/Static_Files/data/C/C000740.xml	Marcus allen Coolidge	Marcus A. Coolidge	Q5611792	1	Coolidge	Marcus allen	MA	Massachusetts	Democrat	Democratic Party	72	72nd United States Congress	1931-03-04T00:00:00Z	1933-03-04T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	73	73rd United States Congress	1933-03-04T00:00:00Z	1935-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	74	74th United States Congress	1935-01-03T00:00:00Z	1937-01-03T00:00:00Z
I000055	https://bioguideretro.congress.gov/Static_Files/data/I/I000055.xml	Johnny Isakson	Johnny Isakson	Q130024	1	Isakson	Johnny	GA	Georgia	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								GA	Georgia	Republican	Republican Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
S000216	https://bioguideretro.congress.gov/Static_Files/data/S/S000216.xml	William king Sebastian	William K. Sebastian	Q433902	1	Sebastian	William king	AR	Arkansas	Democrat	Democratic Party	30	30th United States Congress	1847-03-04T00:00:00Z	1849-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	31	31st United States Congress	1849-03-04T00:00:00Z	1851-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	32	32nd United States Congress	1851-03-04T00:00:00Z	1853-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	33	33rd United States Congress	1853-03-04T00:00:00Z	1855-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	34	34th United States Congress	1855-03-04T00:00:00Z	1857-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	35	35th United States Congress	1857-03-04T00:00:00Z	1859-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	36	36th United States Congress	1859-03-04T00:00:00Z	1861-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	37	37th United States Congress	1861-03-04T00:00:00Z	1863-03-04T00:00:00Z
H000368	https://bioguideretro.congress.gov/Static_Files/data/H/H000368.xml	Benjamin Hawkins	Benjamin Hawkins	Q2896102	1	Hawkins	Benjamin	NC	North Carolina	Pro-Administration	Pro-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
								NC	North Carolina	Pro-Administration	Pro-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
								NC	North Carolina	Pro-Administration	Pro-Administration	3	3rd United States Congress	1793-03-04T00:00:00Z	1795-03-04T00:00:00Z
H001076	https://bioguideretro.congress.gov/Static_Files/data/H/H001076.xml	Margaret wood (maggie) Hassan	Maggie Hassan	Q24053	1	Hassan	Margaret wood (maggie)	NH	New Hampshire	Democrat	Democratic Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								NH	New Hampshire	Democrat	Democratic Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
C000797	https://bioguideretro.congress.gov/Static_Files/data/C/C000797.xml	Edward prentiss Costigan	Edward P. Costigan	Q1293207	1	Costigan	Edward prentiss	CO	Colorado	Democrat	Democratic Party	72	72nd United States Congress	1931-03-04T00:00:00Z	1933-03-04T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	73	73rd United States Congress	1933-03-04T00:00:00Z	1935-01-03T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	74	74th United States Congress	1935-01-03T00:00:00Z	1937-01-03T00:00:00Z
H001089	https://bioguideretro.congress.gov/Static_Files/data/H/H001089.xml	Joshua david Hawley	Josh Hawley	Q23020745	1	Hawley	Joshua david	MO	Missouri	Republican	Republican Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
H000397	https://bioguideretro.congress.gov/Static_Files/data/H/H000397.xml	Arthur peronneau Hayne	Arthur P. Hayne	Q4799896	1	Hayne	Arthur peronneau	SC	South Carolina	Democrat	Democratic Party	35	35th United States Congress	1857-03-04T00:00:00Z	1859-03-04T00:00:00Z
C000973	https://bioguideretro.congress.gov/Static_Files/data/C/C000973.xml	Shelby moore Cullom	Shelby Moore Cullom	Q883491	1	Cullom	Shelby moore	IL	Illinois	Republican	Republican Party	48	48th United States Congress	1883-03-04T00:00:00Z	1885-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	49	49th United States Congress	1885-03-04T00:00:00Z	1887-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	50	50th United States Congress	1887-03-04T00:00:00Z	1889-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	51	51st United States Congress	1889-03-04T00:00:00Z	1891-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	52	52nd United States Congress	1891-03-04T00:00:00Z	1893-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	53	53rd United States Congress	1893-03-04T00:00:00Z	1895-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	54	54th United States Congress	1895-03-04T00:00:00Z	1897-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	57	57th United States Congress	1901-03-04T00:00:00Z	1903-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	59	59th United States Congress	1905-03-04T00:00:00Z	1907-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	61	61st United States Congress	1909-03-04T00:00:00Z	1911-03-04T00:00:00Z
								IL	Illinois	Republican	Republican Party	62	62nd United States Congress	1911-03-04T00:00:00Z	1913-03-04T00:00:00Z
M000213	https://bioguideretro.congress.gov/Static_Files/data/M/M000213.xml	Armistead thomson Mason	Armistead Thomson Mason	Q256631	1	Mason	Armistead thomson	VA	Virginia	Democratic Republican	Democratic-Republican Party	14	14th United States Congress	1815-03-04T00:00:00Z	1817-03-04T00:00:00Z
K000374	https://bioguideretro.congress.gov/Static_Files/data/K/K000374.xml	Paul g., jr. Kirk	Paul G. Kirk	Q1363487	1	Kirk	Paul g., jr.	MA	Massachusetts	Democrat	Democratic Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
M000788	https://bioguideretro.congress.gov/Static_Files/data/M/M000788.xml	William hall Milton	William Hall Milton	Q1805678	1	Milton	William hall	FL	Florida	Democrat	Democratic Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
K000360	https://bioguideretro.congress.gov/Static_Files/data/K/K000360.xml	Mark steven Kirk	Mark Kirk	Q339046	1	Kirk	Mark steven	IL	Illinois	Republican	Republican Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
C000542	https://bioguideretro.congress.gov/Static_Files/data/C/C000542.xml	Daniel ray Coats	Dan Coats	Q632321	1	Coats	Daniel ray	IN	Indiana	Republican	Republican Party	101	101st United States Congress	1989-01-03T00:00:00Z	1991-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	102	102nd United States Congress	1991-01-03T00:00:00Z	1993-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	103	103rd United States Congress	1993-01-03T00:00:00Z	1995-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								IN	Indiana	Republican	Republican Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
H000618	https://bioguideretro.congress.gov/Static_Files/data/H/H000618.xml	James Hillhouse	James Hillhouse	Q373534	1	Hillhouse	James	CT	Connecticut	Federalist	Federalist Party	4	4th United States Congress	1795-03-04T00:00:00Z	1797-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	5	5th United States Congress	1797-03-04T00:00:00Z	1799-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	6	6th United States Congress	1799-03-04T00:00:00Z	1801-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	7	7th United States Congress	1801-03-04T00:00:00Z	1803-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	8	8th United States Congress	1803-03-04T00:00:00Z	1805-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	9	9th United States Congress	1805-03-04T00:00:00Z	1807-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	10	10th United States Congress	1807-03-04T00:00:00Z	1809-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	11	11th United States Congress	1809-03-04T00:00:00Z	1811-03-04T00:00:00Z
P000222	https://bioguideretro.congress.gov/Static_Files/data/P/P000222.xml	Charles harting Percy	Charles H. Percy	Q1064692	1	Percy	Charles harting	IL	Illinois	Republican	Republican Party	90	90th United States Congress	1967-01-03T00:00:00Z	1969-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	91	91st United States Congress	1969-01-03T00:00:00Z	1971-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	92	92nd United States Congress	1971-01-03T00:00:00Z	1973-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	93	93rd United States Congress	1973-01-03T00:00:00Z	1975-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	96	96th United States Congress	1979-01-03T00:00:00Z	1981-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	97	97th United States Congress	1981-01-03T00:00:00Z	1983-01-03T00:00:00Z
								IL	Illinois	Republican	Republican Party	98	98th United States Congress	1983-01-03T00:00:00Z	1983-01-03T00:00:00Z
W000285	https://bioguideretro.congress.gov/Static_Files/data/W/W000285.xml	John sullivan Wells	John S. Wells	Q1339780	1	Wells	John sullivan	NH	New Hampshire	Democrat	Democratic Party	33	33rd United States Congress	1853-03-04T00:00:00Z	1855-03-04T00:00:00Z
S000941	https://bioguideretro.congress.gov/Static_Files/data/S/S000941.xml	Richard Stockton	Richard Stockton	Q433833	1	Stockton	Richard	NJ	New Jersey	Federalist	Federalist Party	4	4th United States Congress	1795-03-04T00:00:00Z	1797-03-04T00:00:00Z
								NJ	New Jersey	Federalist	Federalist Party	5	5th United States Congress	1797-03-04T00:00:00Z	1799-03-04T00:00:00Z
F000439	https://bioguideretro.congress.gov/Static_Files/data/F/F000439.xml	William h. Frist	Bill Frist	Q31112	1	Frist	William h.	TN	Tennessee	Republican	Republican Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								TN	Tennessee	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								TN	Tennessee	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								TN	Tennessee	Republican	Republican Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								TN	Tennessee	Republican	Republican Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								TN	Tennessee	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
M000993	https://bioguideretro.congress.gov/Static_Files/data/M/M000993.xml	Cameron a. Morrison	Cameron A. Morrison	Q888112	1	Morrison	Cameron a.	NC	North Carolina	Democrat	Democratic Party	71	71st United States Congress	1929-03-04T00:00:00Z	1931-03-04T00:00:00Z
								NC	North Carolina	Democrat	Democratic Party	72	72nd United States Congress	1931-03-04T00:00:00Z	1933-03-04T00:00:00Z
S000955	https://bioguideretro.congress.gov/Static_Files/data/S/S000955.xml	David Stone	David Stone	Q889824	1	Stone	David	NC	North Carolina	Democratic Republican	Democratic-Republican Party	7	7th United States Congress	1801-03-04T00:00:00Z	1803-03-04T00:00:00Z
								NC	North Carolina	Democratic Republican	Democratic-Republican Party	8	8th United States Congress	1803-03-04T00:00:00Z	1805-03-04T00:00:00Z
								NC	North Carolina	Democratic Republican	Democratic-Republican Party	9	9th United States Congress	1805-03-04T00:00:00Z	1807-03-04T00:00:00Z
								NC	North Carolina	Democratic Republican	Democratic-Republican Party	13	13th United States Congress	1813-03-04T00:00:00Z	1815-03-04T00:00:00Z
L000304	https://bioguideretro.congress.gov/Static_Files/data/L/L000304.xml	Joseph i. Lieberman	Joe Lieberman	Q160157	1	Lieberman	Joseph i.	CT	Connecticut	Democrat	Democratic Party	101	101st United States Congress	1989-01-03T00:00:00Z	1991-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	102	102nd United States Congress	1991-01-03T00:00:00Z	1993-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	103	103rd United States Congress	1993-01-03T00:00:00Z	1995-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								CT	Connecticut	Independent	Independent	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								CT	Connecticut	Independent	Independent	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								CT	Connecticut	Independent	Independent	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
M000777	https://bioguideretro.congress.gov/Static_Files/data/M/M000777.xml	Roger quarles Mills	Roger Q. Mills	Q442056	1	Mills	Roger quarles	TX	Texas	Democrat	Democratic Party	52	52nd United States Congress	1891-03-04T00:00:00Z	1893-03-04T00:00:00Z
								TX	Texas	Democrat	Democratic Party	53	53rd United States Congress	1893-03-04T00:00:00Z	1895-03-04T00:00:00Z
								TX	Texas	Democrat	Democratic Party	54	54th United States Congress	1895-03-04T00:00:00Z	1897-03-04T00:00:00Z
								TX	Texas	Democrat	Democratic Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
E000155	https://bioguideretro.congress.gov/Static_Files/data/E/E000155.xml	Jonathan Elmer	Jonathan Elmer	Q929830	1	Elmer	Jonathan	NJ	New Jersey	Pro-Administration	Pro-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
W000246	https://bioguideretro.congress.gov/Static_Files/data/W/W000246.xml	John wingate Weeks	John Wingate Weeks	Q1371272	1	Weeks	John wingate	MA	Massachusetts	Republican	Republican Party	63	63rd United States Congress	1913-03-04T00:00:00Z	1915-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	64	64th United States Congress	1915-03-04T00:00:00Z	1917-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	65	65th United States Congress	1917-03-04T00:00:00Z	1919-03-04T00:00:00Z
