bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
J000198	https://bioguideretro.congress.gov/Static_Files/data/J/J000198.xml	Samuel Johnston	Samuel Johnston	Q730149	1	Johnston	Samuel	NC	North Carolina	Pro-Administration	Pro-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
								NC	North Carolina	Pro-Administration	Pro-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
H000508	https://bioguideretro.congress.gov/Static_Files/data/H/H000508.xml	John Henry	John Henry	Q202950	1	Henry	John	MD	Maryland	Pro-Administration	Pro-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
								MD	Maryland	Pro-Administration	Pro-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
								MD	Maryland	Pro-Administration	Pro-Administration	3	3rd United States Congress	1793-03-04T00:00:00Z	1795-03-04T00:00:00Z
								MD	Maryland	Pro-Administration	Pro-Administration	4	4th United States Congress	1795-03-04T00:00:00Z	1797-03-04T00:00:00Z
								MD	Maryland	Pro-Administration	Pro-Administration	5	5th United States Congress	1797-03-04T00:00:00Z	1799-03-04T00:00:00Z
B000553	https://bioguideretro.congress.gov/Static_Files/data/B/B000553.xml	Coleman livingston Blease	Coleman Livingston Blease	Q886038	1	Blease	Coleman livingston	SC	South Carolina	Democrat	Democratic Party	69	69th United States Congress	1925-03-04T00:00:00Z	1927-03-04T00:00:00Z
								SC	South Carolina	Democrat	Democratic Party	70	70th United States Congress	1927-03-04T00:00:00Z	1929-03-04T00:00:00Z
								SC	South Carolina	Democrat	Democratic Party	71	71st United States Congress	1929-03-04T00:00:00Z	1931-03-04T00:00:00Z
S000476	https://bioguideretro.congress.gov/Static_Files/data/S/S000476.xml	James harvey Slater	James H. Slater	Q1680501	1	Slater	James harvey	OR	Oregon	Democrat	Democratic Party	46	46th United States Congress	1879-03-04T00:00:00Z	1881-03-04T00:00:00Z
								OR	Oregon	Democrat	Democratic Party	47	47th United States Congress	1881-03-04T00:00:00Z	1883-03-04T00:00:00Z
