term	class	state	senator	senator_name	rowvalChk
8	I	NY	M000831	Samuel latham Mitchill	1
8	III	NY	C000525	De witt Clinton	1
8	III	NY	S000566	John Smith	1
8	I	OH	S000567	John Smith	1
8	III	OH	W000750	Thomas Worthington	1
8	I	PA	M000029	Samuel Maclay	0
8	III	PA	L000401	George Logan	1
8	I	RI	H000870	Benjamin Howland	1
8	I	RI	P000468	Samuel john Potter	1
8	II	RI	E000114	Christopher Ellery	1
8	II	SC	S001073	Thomas Sumter	1
8	III	SC	B001186	Pierce Butler	1
8	III	SC	G000005	John Gaillard	1
8	II	TN	C000572	William Cocke	1
8	I	TN	A000197	Joseph inslee Anderson	1
8	I	VA	M000226	Stevens thomson Mason	1
8	II	VA	M000891	Andrew Moore	1
8	I	VA	T000086	John Taylor	1
8	I	VA	V000083	Abraham bedford Venable	1
8	II	VA	G000183	William branch Giles	1
8	II	VA	N000086	Wilson cary Nicholas	1
8	I	VT	S000557	Israel Smith	1
8	III	VT	B000745	Stephen row Bradley	1
9	I	CT	H000618	James Hillhouse	1
9	III	CT	T000348	Uriah Tracy	1
9	I	DE	W000392	Samuel White	1
9	II	DE	B000249	James asheton, sr. Bayard	1
9	II	GA	B000084	Abraham Baldwin	1
9	III	GA	J000017	James Jackson	1
9	III	GA	M000712	John Milledge	1
9	II	KY	T000249	Buckner Thruston	1
9	III	KY	A000026	John Adair	1
9	III	KY	B000787	John Breckinridge	1
9	III	KY	C000482	Henry Clay	1
9	I	MA	A000041	John quincy Adams	1
9	II	MA	P000324	Timothy Pickering	1
9	I	MD	S000609	Samuel Smith	1
9	III	MD	R000125	Philip Reed	1
9	III	MD	W000768	Robert Wright	1
9	II	NC	T000423	James Turner	1
9	III	NC	S000955	David Stone	1
9	II	NH	G000215	Nicholas Gilman	1
9	III	NH	P000393	William Plumer	1
9	I	NJ	C000671	John Condit	1
9	II	NJ	K000246	Aaron Kitchell	1
9	I	NY	M000831	Samuel latham Mitchill	1
9	III	NY	S000566	John Smith	1
9	I	OH	S000567	John Smith	1
9	III	OH	W000750	Thomas Worthington	1
9	I	PA	M000029	Samuel Maclay	0
9	III	PA	L000401	George Logan	1
9	I	RI	H000870	Benjamin Howland	1
9	II	RI	F000074	James Fenner	1
9	II	SC	S001073	Thomas Sumter	1
9	III	SC	G000005	John Gaillard	1
9	II	TN	S000524	Daniel Smith	1
9	I	TN	A000197	Joseph inslee Anderson	1
9	I	VA	M000891	Andrew Moore	1
9	II	VA	G000183	William branch Giles	1
9	I	VT	S000557	Israel Smith	1
9	III	VT	B000745	Stephen row Bradley	1
10	I	CT	H000618	James Hillhouse	1
10	III	CT	G000293	Chauncey Goodrich	1
